n,game,algorithm,dimension,time,number of moves,number of states,won,state space,solution: car,solution: direction
10,6x6_2,random,6,4.32685,1905,1905,1,,J,1
10,6x6_2,random,6,4.32685,1905,1905,1,,H,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,F,1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,1
10,6x6_2,random,6,4.32685,1905,1905,1,,K,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,1
10,6x6_2,random,6,4.32685,1905,1905,1,,A,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,A,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,K,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,A,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,1
10,6x6_2,random,6,4.32685,1905,1905,1,,A,1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,A,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,1
10,6x6_2,random,6,4.32685,1905,1905,1,,K,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,K,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,F,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,1
10,6x6_2,random,6,4.32685,1905,1905,1,,H,1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,1
10,6x6_2,random,6,4.32685,1905,1905,1,,H,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,F,1
10,6x6_2,random,6,4.32685,1905,1905,1,,F,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,F,1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,K,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,K,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,K,1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,1
10,6x6_2,random,6,4.32685,1905,1905,1,,K,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,A,1
10,6x6_2,random,6,4.32685,1905,1905,1,,A,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,1
10,6x6_2,random,6,4.32685,1905,1905,1,,K,1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,K,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,1
10,6x6_2,random,6,4.32685,1905,1905,1,,K,1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,K,1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,1
10,6x6_2,random,6,4.32685,1905,1905,1,,K,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,K,1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,F,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,A,1
10,6x6_2,random,6,4.32685,1905,1905,1,,F,1
10,6x6_2,random,6,4.32685,1905,1905,1,,A,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,K,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,A,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,K,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,A,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,A,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,A,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,K,1
10,6x6_2,random,6,4.32685,1905,1905,1,,K,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,1
10,6x6_2,random,6,4.32685,1905,1905,1,,K,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,K,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,K,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,K,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,A,1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,1
10,6x6_2,random,6,4.32685,1905,1905,1,,A,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,1
10,6x6_2,random,6,4.32685,1905,1905,1,,G,1
10,6x6_2,random,6,4.32685,1905,1905,1,,X,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,1
10,6x6_2,random,6,4.32685,1905,1905,1,,B,1
10,6x6_2,random,6,4.32685,1905,1905,1,,I,1
10,6x6_2,random,6,4.32685,1905,1905,1,,J,1
10,6x6_2,random,6,4.32685,1905,1905,1,,L,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,E,-1
